accuracy,loss,val_accuracy,val_loss
0.7447278499603271,0.8551140427589417,0.8904638886451721,0.3662515878677368
0.8643521666526794,0.43618661165237427,0.9158075451850891,0.28455716371536255
0.8900451064109802,0.3503062427043915,0.9235395193099976,0.25018996000289917
0.903121829032898,0.31214916706085205,0.9274054765701294,0.23316873610019684
0.9162906408309937,0.27041831612586975,0.93256014585495,0.2186858057975769
0.9171194434165955,0.25285008549690247,0.9329897165298462,0.21369822323322296
0.9248549342155457,0.2357231080532074,0.936855673789978,0.20417802035808563
0.9301040768623352,0.21731451153755188,0.9355670213699341,0.20020553469657898
0.9368265867233276,0.202850803732872,0.9355670213699341,0.19973547756671906
0.939497172832489,0.1896003633737564,0.9402921199798584,0.1902092695236206
0.9412468671798706,0.1799483746290207,0.943728506565094,0.18270337581634521
0.9450225830078125,0.17251692712306976,0.9385738968849182,0.18739263713359833
0.9484298825263977,0.16193929314613342,0.9402921199798584,0.18945470452308655
0.951284646987915,0.1506228893995285,0.9411512017250061,0.18433891236782074
0.9533106088638306,0.1458812803030014,0.9402921199798584,0.18907491862773895
