accuracy,loss,val_accuracy,val_loss
0.562851071357727,1.4390891790390015,0.8114261031150818,0.6715341806411743
0.7829450368881226,0.7141969799995422,0.8586769700050354,0.4718899428844452
0.8319366574287415,0.5495641231536865,0.8784364461898804,0.3958286643028259
0.8494336605072021,0.49079468846321106,0.8930412530899048,0.3551698625087738
0.8614053130149841,0.44047847390174866,0.8999140858650208,0.3240804076194763
0.8721797466278076,0.40834900736808777,0.9042096138000488,0.30783548951148987
0.8804678320884705,0.38538676500320435,0.9093642830848694,0.2917107045650482
0.8837830424308777,0.36891844868659973,0.9119415879249573,0.2818014621734619
0.8886637687683105,0.34897175431251526,0.9145188927650452,0.2744179666042328
0.8920710682868958,0.34282582998275757,0.9170961976051331,0.2656245529651642
0.8948338031768799,0.3291206955909729,0.9205326437950134,0.26078248023986816
0.8964914083480835,0.3252111077308655,0.9222508668899536,0.2530728280544281
0.8958467841148376,0.3205309510231018,0.9235395193099976,0.25058892369270325
0.9005433320999146,0.30897077918052673,0.9235395193099976,0.24665489792823792
0.9039506316184998,0.2988860011100769,0.9235395193099976,0.2492358237504959
0.9021088480949402,0.2985442280769348,0.9274054765701294,0.2408594936132431
0.9077262878417969,0.28650182485580444,0.9274054765701294,0.24247340857982635
0.9054240584373474,0.2867070138454437,0.9274054765701294,0.24069827795028687
0.9052398800849915,0.28057634830474854,0.9295532703399658,0.23789650201797485
0.914725124835968,0.27259036898612976,0.9274054765701294,0.23907163739204407
0.9085550904273987,0.27635082602500916,0.9304123520851135,0.23470938205718994
0.9118703603744507,0.27148398756980896,0.9274054765701294,0.23309184610843658
0.9123308062553406,0.27693191170692444,0.9282646179199219,0.23030667006969452
0.9121466279029846,0.2667459547519684,0.9274054765701294,0.23233816027641296
0.9139884114265442,0.2647831439971924,0.9274054765701294,0.23087772727012634
0.9150934815406799,0.2606678903102875,0.9304123520851135,0.22807395458221436
0.9150934815406799,0.2649937868118286,0.9308419227600098,0.22524455189704895
0.9154618382453918,0.26155024766921997,0.9278350472450256,0.2272031605243683
0.9184086918830872,0.25585946440696716,0.9295532703399658,0.22117987275123596
0.9169352650642395,0.25544092059135437,0.9282646179199219,0.22266899049282074
0.9171194434165955,0.2536051869392395,0.9295532703399658,0.22327758371829987
0.9196979403495789,0.24888326227664948,0.9308419227600098,0.22021076083183289
0.9152776598930359,0.251832515001297,0.93256014585495,0.22212371230125427
0.9170273542404175,0.25467339158058167,0.9334192276000977,0.2205633819103241
0.9195137619972229,0.24869871139526367,0.9317010045051575,0.21993787586688995
0.9186849594116211,0.25016021728515625,0.9299828410148621,0.2202451229095459
0.9182245135307312,0.24940310418605804,0.9321305751800537,0.22042788565158844
0.9207109212875366,0.24893081188201904,0.9278350472450256,0.22378875315189362
0.918961226940155,0.25246021151542664,0.9291236996650696,0.22041989862918854
