model,test_accuracy,test_macro_f1,test_weighted_f1,test_macro_precision,test_macro_recall,train_time,inference_time,best_macro_f1_rank
MobileNet Transfer,0.9420103092783505,0.9181072280632966,0.9421280504217715,0.921219382201958,0.9162614420912095,225.63359507988207,12.993469781940803,1.0
Scratch CNN,0.7903780068728522,0.7472292283903771,0.7929448844194507,0.7438410158550437,0.7561304314924125,353.90710032591596,4.30041872500442,2.0
PCA + LDA,0.5506872852233677,0.43033500248716194,0.5641339341798233,0.425207410770064,0.44183211717476834,48.63257884979248,1.0829904079437256,3.0
Random Forest,0.5433848797250859,0.4059861369817001,0.528656821578784,0.44515745158469516,0.4237183180757069,6.169024785980582,0.02437993697822094,4.0
